@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,1,0,1,2
12.728,18,18,12.728,18,18,0,0,0,0,0,1,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,12.728,18,18,0,0,0,0,0,0,0,2
12.728,18,18,3,12,9,0,0,0,1,0,0,0,2
9.22,18,7,3,12,9,0,0,0,1,0,0,0,2
8.246,17,7,2,11,9,0,1,0,1,1,0,0,2
8.246,17,7,2,11,9,0,1,0,1,1,1,0,2
8.062,17,8,2,11,9,0,1,0,1,0,0,0,3
7,16,9,8,17,9,0,0,0,1,0,0,0,3
7.071,16,10,10.817,18,3,0,0,0,0,0,0,0,3
7.28,16,11,10.817,18,3,0,0,0,0,0,0,0,2
6.708,15,12,9.434,17,4,0,0,0,0,0,0,0,2
6.325,15,11,10,17,3,0,0,0,0,0,0,0,2
5.385,14,11,10,17,3,0,0,0,0,0,0,0,2
4.472,13,11,9.22,16,3,0,0,0,0,0,0,0,2
4.123,13,10,6,15,9,0,0,0,0,0,0,0,2
4.123,13,10,6,15,9,0,0,0,0,0,0,0,2
3.162,12,10,5,14,9,0,0,0,0,1,0,1,2
3,12,9,5,14,9,0,0,0,1,0,1,0,2
3,12,9,5,14,9,0,0,0,1,1,0,0,2
2,11,9,4,13,9,1,0,0,1,1,1,0,2
2,11,9,4,13,9,1,0,0,1,0,0,0,3
1.414,10,10,4,13,9,0,0,1,0,0,0,0,3
12.728,18,18,7.211,13,3,0,0,0,0,0,0,0,3
12.728,18,18,7.211,13,3,0,0,0,0,0,0,0,2
12.728,18,18,6.403,13,4,0,0,0,0,0,0,0,2
12.728,18,18,6.708,12,3,0,0,0,1,0,0,0,2
12.728,18,18,6.708,12,3,0,0,0,1,0,0,0,2
12.728,18,18,6.708,12,3,0,0,0,1,0,0,0,2
9.487,18,12,1,10,9,0,1,0,1,0,0,0,2
9.487,18,12,1,10,9,0,1,0,1,0,0,0,2
9.22,18,11,1,10,9,0,1,0,1,0,0,0,2
9.22,18,11,1,10,9,0,1,0,1,1,0,0,2
12.728,18,18,1,10,9,0,1,0,1,1,1,0,2
12.728,18,18,1,10,9,0,1,0,1,0,0,0,3
12.728,18,18,1,10,9,0,1,0,1,0,0,0,3
12.728,18,18,6.325,11,3,0,0,0,1,0,0,0,3
12.728,18,18,5.385,11,4,0,0,0,0,0,0,0,3
12.728,18,18,5.385,11,4,0,0,0,0,0,0,0,2
10.296,18,14,5.099,10,4,0,0,0,0,0,0,0,2
10.296,18,14,5.099,10,4,0,0,0,0,0,0,0,2
10.296,18,14,5.099,10,4,0,0,0,0,0,0,0,2
9.849,18,13,6.083,10,3,0,0,0,1,0,0,0,2
9.849,18,13,6.083,10,3,0,0,0,1,1,0,0,2
9.849,18,13,6.083,10,3,0,0,0,1,1,1,0,2
8.944,17,13,6.083,10,3,0,0,0,1,1,1,0,2
8.944,17,13,6.083,10,3,0,0,0,1,1,1,0,2
8.062,16,13,6.083,10,3,0,0,0,1,1,1,0,2
8.062,16,13,6.083,10,3,0,0,0,1,1,1,0,2
7.211,15,13,6.083,10,3,0,0,0,1,1,1,0,2
7.211,15,13,6.083,10,3,0,0,0,1,1,1,0,2
7.211,15,13,6.083,10,3,0,0,0,1,1,1,0,2
6.403,14,13,6.083,10,3,0,0,0,1,1,1,0,2
6.403,14,13,6.083,10,3,0,0,0,1,1,1,0,2
6.403,14,13,6.083,10,3,0,0,0,1,1,1,0,2
5.657,13,13,6.083,10,3,0,0,0,1,1,1,0,2
5.657,13,13,6.083,10,3,0,0,0,1,1,1,0,2
5.657,13,13,6.083,10,3,0,0,0,1,1,1,0,2
5.657,13,13,6.083,10,3,0,0,0,1,1,1,0,2
5,12,13,5.831,12,4,0,0,0,1,1,1,1,2
5,12,13,5.831,12,4,0,0,0,1,1,1,1,2
5.657,13,13,5.831,12,4,0,0,0,1,1,1,1,2
